"train_SR","valid_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0.358000841160541,0.192363535674422,0.296101746498603,5,0,0,0,0,0,0.375458635172362,0,0,1.27333446200317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28732097229767,0,0,0,0,0,0,0,0,0,0,0,-0.480911612273768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119439487395904,0,0,0,0,0,0,0
0.423571998907697,0.262665732526896,0.354302610727761,6,0,0,0,0,0,0.530982791680644,0,0,1.1856861547637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.691813009810375,0,0,0,0,0,0,0,0,0,0,0,-0.556345027894679,0,0,0,0,0.21596530995342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31552378130729,0,0,0,0,0,0,0
0.425819557493579,0.265675244435554,0.356867559535744,7,0,0,0,-0.00888776809136169,0,0.538956366259153,0,0,1.18487762199936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.699240881670707,0,0,0,0,0,0,0,0,0,0,0,-0.557323800491119,0,0,0,0,0.221837952530648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319780509464024,0,0,0,0,0,0,0
0.431389205424704,0.273099419913513,0.363638152272088,8,0,0,0,-0.0299062266837705,0,0.556225846113168,0,0,1.18055732043527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.719725919776085,0,0,0,0,0,0,0,0,0,0,0,-0.559274545271611,0,0,0,0,0.230442132947158,0,0,0,0.0148537031136255,0,0,0,0,0,0,0,0,0,0,0,0.326827689122251,0,0,0,0,0,0,0
0.442955703554853,0.289048503026606,0.375895777550552,9,0,0,0,-0.068452971152979,0,0.582017769129213,0,0,1.16550222681991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.765730233178699,0,0,0,0,0,0.0380468240580394,0,0,0,0,0,-0.566206431704559,0,0,0,0,0.241374653152375,0,0,0,0.0344861892429407,0,0,0,0,0,0,0,0,0,0,0,0.338961973633762,0,0,0,0,0,0,0
0.446639141006872,0.295507490181412,0.380136834032797,10,0,0,0,-0.0773109702086971,0,0.591116972427844,0,0,1.1618773225004,0,0,0,0,0,0,0,0,0,0,-0.0108065826278495,0,0,0,-0.775408186288772,0,0,0,0,0,0.0513437232276827,0,0,0,0,0,-0.566667662174225,0,0,0,0,0.244396887312624,0,0,0,0.03887378283874,0,0,0,0,0,0,0,0,0,0,0,0.342584712992253,0,0,0,0,0,0,0
0.459136869901612,0.316436405296375,0.393296335012726,11,0,0,0,-0.108262089923751,0,0.615559564690509,0,0,1.1434801801888,0,0,0,0,0,0.0243735985506503,0,0,0,0,-0.044014321253085,0,0,0,-0.812073089883702,0,0,0,0,0,0.0873219166824878,0,0,0,0,0,-0.56675389636953,0,0,0,0,0.254075142973311,0,0,0,0.0536172529224983,0,0,0,0,0,0,0,0,0,0,0,0.352675741421815,0,0,0,0,0,0,0
0.489714110774592,0.366645057646796,0.425010889881318,12,0,0,0,-0.172231852557981,0,0.649853510658014,0,0,1.08092215268962,0,0,0,0,0,0.0744569880371816,0,0,0,0,-0.129225560628586,0,0.0953965727612384,0,-0.90531587224998,0,0,0,0,0,0.164126072890596,0,0,0,0,0,-0.56889384499759,0,0,0,0,0.265543641234221,0,0,0,0.0784397135020625,0,0,0,0,0,0,0,0,0,0,0,0.366928478661199,0,0,0,0,0,0,0
0.496638357757038,0.377027406540892,0.431486335223697,13,0,0,0,-0.181996957034907,0,0.660379735256506,0,-0.0219822027090317,1.07082586156246,0,0,0,0,0,0.0863169801355388,0,0,0,0,-0.140670591146715,0,0.114944476464337,0,-0.920852935993338,0,0,0,0,0,0.182556063156208,0,0,0,0,0,-0.568242219441643,0,0,0,0,0.266611375046164,0,0,0,0.0835846181640648,0,0,0,0,0,0,0,0,0,0,0,0.368525796540357,0,0,0,0,0,0,0
0.499751388572944,0.382152949971771,0.434585012348104,14,0,0,0,-0.186937600667826,0,0.66497720071208,0,-0.0317681720894439,1.06512939866433,0.00451213777217774,0,0,0,0,0.0909929913619484,0,0,0,0,-0.1461494435033,0,0.123681556875027,0,-0.927605817773689,0,0,0,0,0,0.189487154999807,0,0,0,0,0,-0.567355936576561,0,0,0,0,0.266240729158144,0,0,0,0.0860311426545986,0,0,0,0,0,0,0,0,0,0,0,0.368764658412708,0,0,0,0,0,0,0
