"train_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0.378341130772804,0.437622919466869,5,0,0,0,0,0,0.429030954625971,0,0,0.659154428261094,0.227947655210477,0,0,0,0,0,0,0,0,0,-0.719407400369168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403274362271627,0,0,0
0.379137574307757,0.438597084824273,6,0,0,0,0,0,0.42992491593854,0,0,0.658181402668231,0.228520291440397,0,0,0,0,0,0,0,0,0,-0.723389954101335,0,0,0,0,0,0.00338390042269562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403379443631472,0,0,0
0.425140727132438,0.476665510534199,7,0,0,0,0,0,0.47930454572296,0,0,0.627869798654202,0.256605612564418,0,0,0,0,0,0,0,0,0,-0.765724936655887,0,0,0,-0.190424744741339,0,0.170521535882878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421848188572769,0,0,0
0.444976153605214,0.489827525346887,8,0,0,0,0,0,0.499202689866146,0,0,0.612478526103512,0.265626309294547,0,0,0,0,0,0,0,0,0,-0.778843079450775,0,0,0,-0.275706404434274,0,0.231219843049362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281441657639336,0,0,0,0.417877949807549,0,0,0
0.47585175704314,0.507653547605459,9,0,0,0,0,0,0.525255326155812,0,0,0.578886631522307,0.278626887464551,0,0,0,0,0,0,0,0,0,-0.784724016013736,0,0,0,-0.413183193223647,0,0.313183430286806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530215981275167,0,0,0,0.39609960409572,0.0528337315846705,0,0
0.479563149380133,0.509763512209412,10,0,0,0,-0.00630413755985695,0,0.530064373302696,0,0,0.576802939762761,0.280647388846138,0,0,0,0,0,0,0,0,0,-0.783505917891702,0,0,0,-0.426135229750064,0,0.32193020150393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553701139209755,0,0,0,0.393042785045044,0.0580874828200777,0,0
0.496527959270757,0.516495305040723,11,0,0,0,-0.0316442654636386,0,0.548239346721392,0,0,0.566706041914962,0.286683299683647,0,0,0,0,0,0,0,0,0,-0.784128152232348,0,0,0,-0.488371240419963,0,0.34516963645734,0,0,0,0.0343056809690245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065337453315284,0,0,0,0.378752454357408,0.0789497446968925,0,0
0.507432431682717,0.518802435927445,12,0,0,0,-0.0439157457772655,0,0.562666322801235,0,0,0.563571741099011,0.29093020848703,0,0,0,0,0,0,0,0,-0.0239638274324231,-0.782167851090522,0,0,0,-0.516682364128904,0,0.360587617027854,0,0,0,0.0552277904471843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732055840901811,0,0,0,0.371753501479832,0.0887870229967874,0,0
0.52533842646358,0.521513786205944,13,0,0,0,-0.0623884666225255,0,0.582631673370534,0,0,0.55831936209396,0.296381792588161,0,0,0,0,0,0,0,0,-0.0596830790899644,-0.77497836572415,0,0,0,-0.553938990381083,0,0.389084153167271,0,0,0,0.0906948075208291,0,0,0,0,0,-0.0226448566819747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864732711759789,0,0,0,0.360816988836957,0.109231709746007,0,0
0.581585621374428,0.522773990383939,14,0,0,-0.100219582012851,-0.104220411357764,0,0.666976582573275,0,0,0.556423900958856,0.316246020870387,0,0,0,0,0,0,0,0,-0.171656806720901,-0.731748873173027,0,0,0,-0.656103574189088,0,0.486930383211771,0,0,0,0.214848762103811,0,0,0,0,0,-0.10772268093828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126905242416423,0,0,0,0.332636043312039,0.170704992945349,0,0
