"train_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0.331076680597957,0.348865673075098,5,0,0,0,-0.582813053193574,0,0,0,0,0.392792490874843,0.698775487368651,0,0,0,0.0943123354075775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396932739542502,0,0,0
0.381786308756577,0.365153314407916,6,0,0,0,-0.620792621743175,0,0,0,-0.241285795165256,0.48909883236489,0.789081796891255,0,0,0,0.195251415257303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388646372394982,0,0,0
0.431616430625592,0.392400910681695,7,0,0,0,-0.658245112116273,0,0.204025803649013,0,-0.510741545930629,0.512456538122225,0.815044596941883,0,0,0,0.268393131221495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369066588112287,0,0,0
0.473063677278819,0.406961763861802,8,0,0,-0.151674941199228,-0.650556716370818,0,0.408270576506607,0,-0.691616721684742,0.547358259976977,0.842813565602026,0,0,0,0.340700471866942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354705505302236,0,0,0
0.480052692249949,0.40938379939205,9,0,0,-0.18111095656859,-0.646357165602367,0,0.447516877623133,0,-0.728580166198381,0.552565440117484,0.845706498871013,0,0,0,0.354315889041458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348509403768527,0.00743417894772395,0,0
0.497215266917759,0.41647369977071,10,0,0,-0.240445245553705,-0.644222091109064,0,0.524546060228535,0,-0.781029919157309,0.557154001599782,0.865623774443207,0,0,0,0.381945479914644,0,0,0,0,0,0,0,0,0,-0.0564027349670546,0,0,0,0,0.350233387737465,0.0425972868634996,0,0
0.500801956331355,0.41843238755509,11,0,0,-0.252607614866397,-0.643379370338965,0,0.541218582438892,0,-0.791044437991657,0.558124636348596,0.870064903928895,0,0,0,0.387404437606192,0,0,0,0,0,-0.00680126480043373,0,0,0,-0.0654381073911567,0,0,0,0,0.350980028099819,0.0514782069662143,0,0
0.520629406128183,0.432012918814256,12,0,0,-0.307936767658516,-0.610958881634602,0,0.626423022333672,0,-0.814902183946931,0.565334193826627,0.892803632676215,0,0,0,0.425146543117668,0,-0.0872844035953829,0,0,0,-0.0370289021121586,0,0,0,-0.101338662473934,0,0,0,0,0.353820308908323,0.0959221005590196,0,0
0.530975938420454,0.439257472725075,13,0,0,-0.341375804136163,-0.590932090209218,0,0.676629109035958,0,-0.828137902734936,0.568098825655341,0.902737405624593,0,0,0,0.44777042077775,0,-0.138652074994321,0,0,0,-0.0564276024397478,0,0,0,-0.123359822699279,0.0129661853571655,0,0,0,0.352666818492863,0.118016532269995,0,0
0.534533367883244,0.442057300502236,14,0,0,-0.351323328702885,-0.584603993788615,0,0.688637397628495,0,-0.834904156834127,0.567989050604627,0.898351729567858,0.0207239654252357,0,0,0.452907856010184,0,-0.157712331299486,0,0,0,-0.061851702926818,0,0,0,-0.131368046232563,0.0170031603660925,0,0,0,0.350677704851788,0.125472695330212,0,0
0.537758519970426,0.444986938490173,15,0,0,-0.36146689171179,-0.580945561802484,0,0.695078588096229,0.0175308942002358,-0.841216735161603,0.567002227713225,0.892453150526162,0.0340632658616769,0,0,0.454900661681602,0,-0.17288656301779,0,0,0,-0.066897571364343,0,0,0,-0.137547881897585,0.0198158938777614,0,0,0,0.348946609420918,0.131169913577785,0,0
0.56894292484429,0.466896155095254,16,0,0,-0.419934285660296,-0.552654188028134,0,0.771959300042987,0.112799221202532,-0.924288505870547,0.558565545098761,0.874828840766482,0.143360269954189,0,0,0.483772260279237,0,-0.294621340957801,0,0,0,-0.0891119504039978,0,-0.176073579245254,0,-0.144311401648153,0.0915640076601876,0,0,0,0.354673413154609,0.2094723936552,0,0
0.591982326112868,0.484553996562818,17,0,0,-0.487565419291458,-0.538336647581779,0,0.827652727069025,0.189062678163759,-1.00723687890653,0.540723977042619,0.855130257674969,0.243210776471533,0,0.0699448603461839,0.509247772101698,0,-0.405901942301899,0,0,0,-0.111209734518509,0,-0.328591792578356,0,-0.149491660458829,0.152745137960724,0,0,0,0.356255225062577,0.28436066374427,0,0
0.605856801551888,0.491725612862523,18,0,-0.0776460029060555,-0.522689801558375,-0.520891104521068,0,0.876374265137006,0.253024466630782,-1.05108930170138,0.541644680995141,0.850335264055618,0.303796269581648,0,0.118057159715571,0.52465447580305,0,-0.472088312157073,0,0,0,-0.124069034229752,0,-0.414677020854635,0,-0.160660005169938,0.190821591540508,0,0,0,0.356823447313315,0.328278962325634,0,0
