"X3111.11111","X3211.112","X1221.1111","X3231.1121","X2331.1211","X3331.12221","X1222.11111"
0.0934669899387499,0.0794786823455697,0.108424389278255,0.0803176564901818,0.0656888146753769,0.0688855280589598,0.10978432493346
-0.0178964583631336,-0.0174149102058248,-0.0104322585180838,-0.00573062027272497,-0.00771164392766034,-0.0175907944396058,0.0192562733936245
0.00589669103846016,0.0427338368841131,0.0172658521604486,0.0423591826469506,0.0325238743344856,0.0106241884161248,0.00178733475784074
0.02044248655616,0.0462098018123292,0.0258714033608451,0.0368418848077705,0.0372173196620065,0.0382749811599218,0.0217339529353685
0.0498364305051107,0.0289451013976342,0.051418261711925,-0.00677547097200609,0.010301817468414,0.0211305737464792,0.0405503608560613
-0.0240079074245669,-0.0312484030771348,-0.0217304882824445,-0.0353144720659066,-0.0363594258696013,-0.0218524753071048,-0.0216937334817393
-0.00490581516565754,-0.0243437339420855,0.00312968941989361,-0.0502539693488395,-0.0443498464711491,-0.00251524853032125,0.00245102029000412
0.0547272476614849,0.0461932159891213,0.0593332107405772,0.0489467394542737,0.0432788889802857,0.0608922649740894,0.0479321709448295
-0.0266725535900798,-0.037796068329883,-0.0229350173432103,-0.0650514188881134,-0.0572686702833578,-0.0374787655285758,-0.0214938860754932
0.0075926521175188,0.0203414660153795,0.0312596528254765,0.0317719293115572,0.0292311026689312,0.0251489592725275,0.0148471704204794
0.00470696862616343,-0.0258277662797221,-0.00915463883922286,-0.0253899258083371,-0.0282113767014997,-0.0194955120205467,0.00264531524863078
-0.00967300951701863,0.029710586525121,0.00185617309715354,0.0275878599166146,0.0285559974931942,0.00679483499309586,-0.00387685015063076
0.0610819588188763,0.0362658016862223,0.00489262114191003,0.0589162590317096,0.0474125118986009,-0.0117620062372774,-0.027510438291774
0.0222419476657104,0.0184138835614538,0.0356310726057755,0.0358264300813716,0.0289031309748772,0.0363699077449296,0.0184926719117687
0.0630607442198445,0.0352959428934216,0.074909536553663,0.0534600285186299,0.043896911869335,0.0309133661500306,0.0543696366516657
-0.0128649638662503,-0.00664971626479629,0.00310626959513149,-0.0209730799078365,-0.0167354511532245,0.0141272789555875,-0.00828832521366569
-0.00751510193618592,0.004588233006689,0.0441690585765021,0.00053022055954552,0.00431208836182961,0.00013818849269759,0.0335549753972614
0.0068104998015752,0.0044496828674284,0.0134742215515203,-0.00480204545591079,-0.00166228677971234,0.0353281125179398,0.0112614127760177
0.0482584200478333,0.0347032634144164,0.0290609083064733,0.0410103685372374,0.0406824618014484,0.066760633499109,0.0257900565655509
-0.00944402883857381,-0.0152529114983978,0.00045082873545096,-0.0123399068252149,-0.0128759519358629,-0.0076208047616777,0.00246919553358
0.0570077956381926,0.0235910633273783,0.0487180850296593,0.0426274814750354,0.0335537476025533,0.0418654002347628,0.0330271365656838
0.029522028797899,0.0133620173162844,-0.00343620192251803,0.0224230721258245,0.0186751629478891,0.0186503712141736,0.007485480503336
-0.0004759138435018,0.00433350937229199,-0.0140676050371227,0.00368133998235727,0.0160385123301062,0.00021791097731762,-0.0144188545333714
-0.0262057034861714,-0.00997655207468415,0.0073912253019857,-0.00302092405415812,-0.00622997344995944,-0.0173630808894204,-0.00045861052355275
0.0727795824695151,0.0351747533018617,0.0616321545906086,0.0295366721648073,0.0347902358703721,0.0690592005617996,0.0885338781236093
0.0389918128222884,0.0038327775056201,0.0291291440308231,-0.00869433860047256,-0.010816621660961,0.0293270149327006,0.0242038476184335
0.0202577519798498,-0.0284744614714646,-0.0082743984820133,-0.027840168906055,-0.03558756771253,-0.00105477772084032,-0.0278569799227837
0.0149408718024325,0.00569198122795237,0.046938070376439,0.0120267812328958,0.0179171548872973,0.0126525018955511,0.02452992821752
-0.00317709595212543,0.0087707917638722,-0.0182255463894737,0.0432204236716176,0.0360034143308827,-0.0035500962550963,-0.00329499169052597
-0.0753971306813404,-0.0624197472511591,-0.0901819985002141,-0.0637059740275084,-0.0658477061773691,-0.0843076737988344,-0.104995413256403
-0.0004309137519255,0.0127173572856631,0.0324603257203256,-0.00363882863383449,-0.00565953425776974,0.0335532802036995,0.0083168088815931
0.0315300074373541,0.0116666523509498,0.078503468338426,0.0230737484219634,0.0140366985926769,0.0497818463791155,0.121560319910532
0.0342925251105988,0.0465861065397517,0.0542046444943719,0.052506128264778,0.0442727919742876,0.0296740334032327,0.0387882913233037
