"X2111.12","X3111.11111","X3211.112","X1221.1111","X3231.1121","X3331.12221","X2122.11111","X1222.11111","X3222.11222","X3123.12112"
0.0545196601393568,0.0934669899387499,0.0794786823455697,0.108424389278255,0.0803176564901818,0.0688855280589598,0.13597326850613,0.10978432493346,0.0731319217052284,0.0919126703167103
-0.0278638420015794,-0.0178964583631336,-0.0174149102058248,-0.0104322585180838,-0.00573062027272497,-0.0175907944396058,-0.0151215661615069,0.0192562733936245,-0.0002668554408591,-0.00874023133304841
0.0377243583919948,0.00589669103846016,0.0427338368841131,0.0172658521604486,0.0423591826469506,0.0106241884161248,-0.00858549533973284,0.00178733475784074,0.0405853380068134,0.0281304517502834
0.0445086195531099,0.02044248655616,0.0462098018123292,0.0258714033608451,0.0368418848077705,0.0382749811599218,0.0095588567172715,0.0217339529353685,0.0594890564359723,0.0257547678859333
0.0312822172540586,0.0498364305051107,0.0289451013976342,0.051418261711925,-0.00677547097200609,0.0211305737464792,0.037797858554571,0.0405503608560613,0.0468517542571024,0.00164120327484348
-0.0309434374137497,-0.0240079074245669,-0.0312484030771348,-0.0217304882824445,-0.0353144720659066,-0.0218524753071048,0.00286172034676591,-0.0216937334817393,-0.060224177115904,-0.0346412406660567
-0.0222765945789091,-0.00490581516565754,-0.0243437339420855,0.00312968941989361,-0.0502539693488395,-0.00251524853032125,-0.00626616198591683,0.00245102029000412,0.0323579719506276,-0.0111436452582651
0.0609504475947391,0.0547272476614849,0.0461932159891213,0.0593332107405772,0.0489467394542737,0.0608922649740894,0.0315373572302622,0.0479321709448295,0.0447431351460923,0.0399713672401366
-0.00526062339690192,-0.0266725535900798,-0.037796068329883,-0.0229350173432103,-0.0650514188881134,-0.0374787655285758,-0.0376570891698246,-0.0214938860754932,-0.0182008235260797,-0.0196290036560575
0.0606589536398444,0.0075926521175188,0.0203414660153795,0.0312596528254765,0.0317719293115572,0.0251489592725275,0.0183794491658768,0.0148471704204794,0.0433481264383434,0.027873088248094
0.00665756769655998,0.00470696862616343,-0.0258277662797221,-0.00915463883922286,-0.0253899258083371,-0.0194955120205467,0.0125124180994002,0.00264531524863078,-0.0153605876233888,-0.00409113823683804
0.0497371181954558,-0.00967300951701863,0.029710586525121,0.00185617309715354,0.0275878599166146,0.00679483499309586,0.00283087525003862,-0.00387685015063076,0.0395096683786646,0.0098671874150941
0.0347412914749374,0.0610819588188763,0.0362658016862223,0.00489262114191003,0.0589162590317096,-0.0117620062372774,0.0136097100575806,-0.027510438291774,0.056206115466617,0.0167159504982854
0.0234355870445056,0.0222419476657104,0.0184138835614538,0.0356310726057755,0.0358264300813716,0.0363699077449296,0.0484472705557092,0.0184926719117687,-0.00047957184546086,0.00298329073978577
0.00241528352072877,0.0630607442198445,0.0352959428934216,0.074909536553663,0.0534600285186299,0.0309133661500306,0.0739309107694014,0.0543696366516657,0.0505402971179527,0.0287940996792227
