"X3111.11111","X1211.11111","X2211.1111","X2211.11112","X2211.12111","X3211.111","X1311.11111","X1121.11121","X1221.1111","X2221.11111","X3321.1221","X3231.1121","X3331.12221","X1112.11112","X1112.12212","X1212.11111","X3312.11212","X2122.11111","X1222.11111","X1222.11212","X3222.11112","X3222.11222","X2322.12121","X3232.12222","X3332.12121","X3123.12112","X3223.12221","X1323.11212","X3323.12212","X3233.11211"
0.0934669899387499,0.113454859920273,0.099885463164872,0.0905973988290999,0.0583225467649427,0.0821300156360591,0.118517422392357,0.116290581701709,0.108424389278255,0.119461751842867,-0.0238497469218269,0.0803176564901818,0.0688855280589598,0.104561963823937,0.0260853055200779,0.119461751842867,0.0580112650166958,0.13597326850613,0.10978432493346,0.0884437868342452,0.0756504395267312,0.0731319217052284,0.0764343137730174,0.0949129688081594,0.0204387753458203,0.0919126703167103,0.0630978897550798,0.075869459458309,0.0527816494379721,0.0661683460506127
-0.0178964583631336,-0.0130048378911963,-0.00586059545771541,-0.00667429000246808,-0.00617288000361909,-0.0225352988272303,-0.00929721730672919,-0.0286038865324053,-0.0104322585180838,-0.0221931486837305,-0.0244026820297914,-0.00573062027272497,-0.0175907944396058,-0.0119564537702924,-0.00316649615836084,-0.0221931486837305,-0.00326883973844212,-0.0151215661615069,0.0192562733936245,-0.0191196507611704,-0.0247312803691242,-0.0002668554408591,-0.0111422788796388,-0.0545705917074968,-0.0370643504130357,-0.00874023133304841,-0.0514768200267629,-0.00409258101483833,-0.0330768602813852,0.0144011716331789
0.00589669103846016,0.0189072761732924,0.0207666600233978,0.0216108915871393,0.0369956858863025,0.0284377189410509,-0.00742857911480299,0.00135213467967403,0.0172658521604486,-0.00437751297610367,0.0177691782001201,0.0423591826469506,0.0106241884161248,0.00682402370058858,0.0117593136466446,-0.0129947322240275,0.016388175911276,-0.00858549533973284,0.00178733475784074,0.0290854817232076,0.0281453532851102,0.0405853380068134,0.044357206463894,0.0741932057334907,0.0540068558654668,0.0281304517502834,0.0126929281393604,0.0225680749786761,0.0202130015311096,0.0274860538807367
0.02044248655616,0.0096906497774706,0.0387364112549443,0.0496455084349293,0.0257615192340572,0.0545995102484537,0.00631447256611872,0.0319601385041548,0.0258714033608451,0.0238296186289347,0.0299194846320276,0.0368418848077705,0.0382749811599218,0.0122275523113095,0.0322278252672448,0.0238296186289347,0.0327387388720974,0.0095588567172715,0.0217339529353685,0.0301157366406045,0.0605020758312767,0.0594890564359723,0.0683964665061248,0.0645026241959586,0.0497058714903007,0.0257547678859333,0.0287659784614444,0.0145467997761531,0.0530316830202027,0.0664382717013692
0.0498364305051107,0.0448814575935999,0.0456748449519971,0.0486657898960884,0.0315866500342338,0.0287175966242158,0.0352628175969577,0.033162290409624,0.051418261711925,0.0621364654530638,-0.0065533420931444,-0.00677547097200609,0.0211305737464792,0.0443021017618918,0.0159321761345865,0.0556607166751191,0.03688168837465,0.037797858554571,0.0405503608560613,0.0245800553769168,0.0565161210972864,0.0468517542571024,0.0775526703652084,0.0269603155666111,0.0338731513962174,0.00164120327484348,0.0087099880180289,0.0204766438903436,0.0172230230525693,0.00175939825206146
-0.0240079074245669,-0.040567978184119,-0.0100406298263811,-0.00267418592439658,0.00374075719018822,-0.0154299503987718,-0.0172235952235135,-0.026447216075169,-0.0217304882824445,-0.0338108937599362,-0.0703898393563696,-0.0353144720659066,-0.0218524753071048,-0.0134130121590571,-0.00538203063140335,-0.0281188677739672,-0.0142496299097646,0.00286172034676591,-0.0216937334817393,-0.00997253752060926,-0.0287089096833497,-0.060224177115904,-0.063304820131535,-0.0339245917363095,0.00404407202879581,-0.0346412406660567,-0.0141367168265331,-0.0282025524531315,-0.0168632738116952,0.0112707267599747
-0.00490581516565754,-0.0164392204423556,-0.00937162572953327,-0.0065795653336934,0.0250644620460322,-0.0170304043825678,0.0077611025055689,-0.00564294642380811,0.00312968941989361,-0.0165990257134184,-0.0274634759191539,-0.0502539693488395,-0.00251524853032125,0.0123615972014462,-0.00723923603878081,-0.0171547901476793,-0.0205017152911327,-0.00626616198591683,0.00245102029000412,0.00537139601732957,-0.00735227132167612,0.0323579719506276,-0.0343187874264394,-0.0371887985423134,-0.0289800073102905,-0.0111436452582651,-0.0169492363190649,-0.015023860146678,-0.0436126394549278,-0.0604619927927564
0.0547272476614849,0.0439615777875737,0.0323751527872815,0.02690020110836,0.0499838138526938,0.0354779073459824,0.0449942761428236,0.0316078022066891,0.0593332107405772,0.00386233873314755,0.0335441257839667,0.0489467394542737,0.0608922649740894,0.0296723731324399,0.0480467596384342,0.0101867550002944,0.0447436052303976,0.0315373572302622,0.0479321709448295,0.037758183789314,0.0225273609440391,0.0447431351460923,0.06902092428338,0.0718767804686526,0.0420942877905263,0.0399713672401366,0.0773741039910357,0.0407518726378734,0.0223747331030785,0.056765376553443
-0.0266725535900798,-0.00324142310862047,-0.0123314800768256,-0.013036149801751,-0.0104766437679305,0.00526483971783812,-0.0226782598375406,-0.0334455959220049,-0.0229350173432103,-0.0269780126205353,-0.0580261391061932,-0.0650514188881134,-0.0374787655285758,-0.0119043564343802,-0.0137388849124287,-0.0333011533264305,-0.0285604553349505,-0.0376570891698246,-0.0214938860754932,-0.0240805407956376,0.00360024886553495,-0.0182008235260797,-0.040109731764163,-0.00094235531264615,0.0304455768047087,-0.0196290036560575,-0.0395164782661542,-0.0352073378310559,-0.0536951414225089,-0.0838601504735811
0.0075926521175188,-0.00322856921101589,0.0169245752709005,0.0201253254628735,0.0167361382991197,0.0137251039867354,0.00669369873435367,0.0376790920949331,0.0312596528254765,0.0218783618111511,-0.0165467262524146,0.0317719293115572,0.0251489592725275,0.0143715636212361,0.0240204540371397,0.02597436399861,0.00466854974497098,0.0183794491658768,0.0148471704204794,0.0241156246090036,0.01854507133658,0.0433481264383434,0.0344644907145959,0.15532091751366,0.0356733480440197,0.027873088248094,-0.0275133342767653,0.0080998027687766,0.0025231213916673,0.0397332898213249
