"X1111.1221","X3111.11111","X1211.11111","X3211.1121","X1311.11111","X2311.1211","X1221.1111","X2221.11111","X3221.1222","X3231.1121","X3331.12221","X3312.11212","X2122.11111","X1222.11111","X3222.11222","X2322.12121","X3123.12112","X3233.11211"
0.0415531495014091,0.0934669899387499,0.113454859920273,0.0757831132418613,0.118517422392357,0.080245393136345,0.108424389278255,0.119461751842867,0.0805402035338279,0.0803176564901818,0.0688855280589598,0.0580112650166958,0.13597326850613,0.10978432493346,0.0731319217052284,0.0764343137730174,0.0919126703167103,0.0661683460506127
-0.0126005172566331,-0.0178964583631336,-0.0130048378911963,-0.00425722921606132,-0.00929721730672919,-0.0118981976233614,-0.0104322585180838,-0.0221931486837305,-0.0504762732109016,-0.00573062027272497,-0.0175907944396058,-0.00326883973844212,-0.0151215661615069,0.0192562733936245,-0.0002668554408591,-0.0111422788796388,-0.00874023133304841,0.0144011716331789
0.0290716368738032,0.00589669103846016,0.0189072761732924,0.0257396314645551,-0.00742857911480299,0.0169353516775912,0.0172658521604486,-0.00437751297610367,0.0499059686686017,0.0423591826469506,0.0106241884161248,0.016388175911276,-0.00858549533973284,0.00178733475784074,0.0405853380068134,0.044357206463894,0.0281304517502834,0.0274860538807367
0.0297932563482687,0.02044248655616,0.0096906497774706,0.0502225875527661,0.00631447256611872,0.0269440815251406,0.0258714033608451,0.0238296186289347,0.0518855723662237,0.0368418848077705,0.0382749811599218,0.0327387388720974,0.0095588567172715,0.0217339529353685,0.0594890564359723,0.0683964665061248,0.0257547678859333,0.0664382717013692
0.0280915887489831,0.0498364305051107,0.0448814575935999,0.0328377911956551,0.0352628175969577,0.0445146700566873,0.051418261711925,0.0621364654530638,0.0188545745652232,-0.00677547097200609,0.0211305737464792,0.03688168837465,0.037797858554571,0.0405503608560613,0.0468517542571024,0.0775526703652084,0.00164120327484348,0.00175939825206146
-0.0152482229245537,-0.0240079074245669,-0.040567978184119,-0.00949076610301896,-0.0172235952235135,-0.0125448334396387,-0.0217304882824445,-0.0338108937599362,-0.0321481470414031,-0.0353144720659066,-0.0218524753071048,-0.0142496299097646,0.00286172034676591,-0.0216937334817393,-0.060224177115904,-0.063304820131535,-0.0346412406660567,0.0112707267599747
-0.0133164982199135,-0.00490581516565754,-0.0164392204423556,-0.020549753333722,0.0077611025055689,-0.0153702203068435,0.00312968941989361,-0.0165990257134184,-0.0302796862719325,-0.0502539693488395,-0.00251524853032125,-0.0205017152911327,-0.00626616198591683,0.00245102029000412,0.0323579719506276,-0.0343187874264394,-0.0111436452582651,-0.0604619927927564
0.0519224415159661,0.0547272476614849,0.0439615777875737,0.0472514536196236,0.0449942761428236,0.0418440046708335,0.0593332107405772,0.00386233873314755,0.0752657725764692,0.0489467394542737,0.0608922649740894,0.0447436052303976,0.0315373572302622,0.0479321709448295,0.0447431351460923,0.06902092428338,0.0399713672401366,0.056765376553443
-0.0108868164842769,-0.0266725535900798,-0.00324142310862047,-0.0392267027807775,-0.0226782598375406,-0.0217384460054278,-0.0229350173432103,-0.0269780126205353,-0.0152988321872878,-0.0650514188881134,-0.0374787655285758,-0.0285604553349505,-0.0376570891698246,-0.0214938860754932,-0.0182008235260797,-0.040109731764163,-0.0196290036560575,-0.0838601504735811
0.0159214988440728,0.0075926521175188,-0.00322856921101589,0.00633762483505186,0.00669369873435367,0.00697322780474572,0.0312596528254765,0.0218783618111511,0.092109083479543,0.0317719293115572,0.0251489592725275,0.00466854974497098,0.0183794491658768,0.0148471704204794,0.0433481264383434,0.0344644907145959,0.027873088248094,0.0397332898213249
